ICD,num_pts_last_visit,if_last_then_num_pts_prev_visits,if_last_then_num_seq_prev_visits,SHORT_TITLE,LONG_TITLE
ICD_7847,58,4,8,Epistaxis,Epistaxis
ICD_25063,58,38,114,DMI neuro uncntrld,"Diabetes with neurological manifestations, type I [juvenile type], uncontrolled"
ICD_78052,57,6,6,Insomnia NOS,"Insomnia, unspecified"
ICD_25541,57,21,37,Glucocorticoid deficient,Glucocorticoid deficiency
ICD_5997,57,7,9,,
ICD_7806,56,9,9,,
ICD_4820,56,6,6,K. pneumoniae pneumonia,Pneumonia due to Klebsiella pneumoniae
ICD_44023,56,11,11,Ath ext ntv art ulcrtion,Atherosclerosis of native arteries of the extremities with ulceration
ICD_27650,55,2,2,Volume depletion NOS,"Volume depletion, unspecified"
ICD_78097,55,1,2,Altered mental status,Altered mental status
ICD_34839,55,8,8,Encephalopathy NEC,Other encephalopathy
ICD_49322,55,21,36,Ch obst asth w (ac) exac,Chronic obstructive asthma with (acute) exacerbation
ICD_20280,55,39,56,Oth lymp unsp xtrndl org,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites"
ICD_V454,55,10,15,Arthrodesis status,Arthrodesis status
ICD_99664,55,7,10,React-indwell urin cath,Infection and inflammatory reaction due to indwelling urinary catheter
ICD_7100,55,51,140,Syst lupus erythematosus,Systemic lupus erythematosus
ICD_E9308,55,2,2,Adv eff antibiotics NEC,Other specified antibiotics causing adverse effects in therapeutic use
ICD_42842,54,12,14,Chr syst/diastl hrt fail,Chronic combined systolic and diastolic heart failure
ICD_60001,54,17,21,BPH w urinary obs/LUTS,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS)
ICD_70723,54,4,5,"Pressure ulcer,stage III","Pressure ulcer, stage III"
ICD_04185,54,4,4,Oth gram negatv bacteria,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms"
ICD_29281,54,0,0,Drug-induced delirium,Drug-induced delirium
ICD_7245,54,11,12,Backache NOS,"Backache, unspecified"
ICD_452,53,14,15,Portal vein thrombosis,Portal vein thrombosis
ICD_28800,53,12,12,Neutropenia NOS,"Neutropenia, unspecified"
ICD_V5866,53,7,8,Long-term use of aspirin,Long-term (current) use of aspirin
ICD_5569,53,31,47,Ulceratve colitis unspcf,"Ulcerative colitis, unspecified"
ICD_25041,52,35,66,DMI renl nt st uncntrld,"Diabetes with renal manifestations, type I [juvenile type], not stated as uncontrolled"
ICD_78830,52,1,1,Urinary incontinence NOS,"Urinary incontinence, unspecified"
ICD_99831,52,2,2,Disrup internal op wound,Disruption of internal operation (surgical) wound
ICD_30981,52,30,39,Posttraumatic stress dis,Posttraumatic stress disorder
ICD_27669,52,6,6,Fluid overload NEC,Other fluid overload
ICD_34290,51,7,7,Unsp hemiplga unspf side,"Hemiplegia, unspecified, affecting unspecified side"
ICD_48283,51,2,2,Pneumo oth grm-neg bact,Pneumonia due to other gram-negative bacteria
ICD_340,51,44,84,Multiple sclerosis,Multiple sclerosis
ICD_25001,51,19,23,DMI wo cmp nt st uncntrl,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled"
ICD_V1272,51,12,13,Prsnl hst colonic polyps,Personal history of colonic polyps
ICD_3441,51,29,76,Paraplegia NOS,Paraplegia
ICD_56081,51,6,7,Intestinal adhes w obstr,Intestinal or peritoneal adhesions with obstruction (postoperative) (postinfection)
ICD_3963,50,12,14,Mitral/aortic val insuff,Mitral valve insufficiency and aortic valve insufficiency
ICD_0416,50,3,4,Proteus infection NOS,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site
ICD_725,50,38,45,Polymyalgia rheumatica,Polymyalgia rheumatica
ICD_58881,50,18,32,Sec hyperparathyrd-renal,Secondary hyperparathyroidism (of renal origin)
ICD_4263,50,14,15,Left bb block NEC,Other left bundle branch block
ICD_4401,50,13,13,Renal artery atheroscler,Atherosclerosis of renal artery
ICD_04119,50,5,8,Other staphylococcus,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus"
ICD_41189,50,3,3,Ac ischemic hrt dis NEC,"Other acute and subacute forms of ischemic heart disease, other"
ICD_V4572,50,13,17,Acquire absnce intestine,Acquired absence of intestine (large) (small)
ICD_V1259,50,10,11,Hx-circulatory dis NEC,Personal history of other diseases of circulatory system
ICD_78701,50,4,4,Nausea with vomiting,Nausea with vomiting
ICD_56723,49,7,7,Spontan bact peritonitis,Spontaneous bacterial peritonitis
ICD_3453,49,9,11,Grand mal status,Grand mal status
ICD_585,49,18,32,,
ICD_79029,49,4,4,Abnormal glucose NEC,Other abnormal glucose
ICD_56981,49,17,28,Intestinal fistula,"Fistula of intestine, excluding rectum and anus"
ICD_45620,49,27,33,Bleed esoph var oth dis,"Esophageal varices in diseases classified elsewhere, with bleeding"
ICD_99673,49,8,9,Comp-ren dialys dev/grft,"Other complications due to renal dialysis device, implant, and graft"
ICD_59654,49,30,68,Neurogenic bladder NOS,Neurogenic bladder NOS
ICD_0388,48,0,0,Septicemia NEC,Other specified septicemias
ICD_E8792,48,10,15,Abn react-radiotherapy,"Radiological procedure and radiotherapy as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
ICD_78550,48,1,1,Shock NOS,"Shock, unspecified"
ICD_30501,48,9,9,Alcohol abuse-continuous,"Alcohol abuse, continuous"
ICD_23875,47,28,47,Myelodysplastic synd NOS,"Myelodysplastic syndrome, unspecified"
ICD_1623,47,18,21,Mal neo upper lobe lung,"Malignant neoplasm of upper lobe, bronchus or lung"
ICD_04149,47,2,2,E.coli infection NEC/NOS,Other and unspecified Escherichia coli [E. coli]
ICD_7843,47,6,6,Aphasia,Aphasia
ICD_73313,47,11,15,Path fx vertebrae,Pathologic fracture of vertebrae
ICD_1629,47,10,10,Mal neo bronch/lung NOS,"Malignant neoplasm of bronchus and lung, unspecified"
ICD_5559,47,33,48,Regional enteritis NOS,Regional enteritis of unspecified site
ICD_7823,46,0,0,Edema,Edema
ICD_99659,46,8,9,Malfunc oth device/graft,"Mechanical complication due to other implant and internal device, not elsewhere classified"
ICD_261,46,8,10,Nutritional marasmus,Nutritional marasmus
ICD_51189,46,9,11,Effusion NEC exc tb,"Other specified forms of effusion, except tuberculous"
ICD_5718,46,22,30,Chronic liver dis NEC,Other chronic nonalcoholic liver disease
ICD_99661,45,9,11,React-cardiac dev/graft,"Infection and inflammatory reaction due to cardiac device, implant, and graft"
ICD_E9478,45,1,1,Adv eff medicinal NEC,Other drugs and medicinal substances causing adverse effects in therapeutic use
ICD_2752,45,4,4,Dis magnesium metabolism,Disorders of magnesium metabolism
ICD_7885,45,0,0,Oliguria & anuria,Oliguria and anuria
ICD_5728,45,7,11,"Oth sequela, chr liv dis",Other sequelae of chronic liver disease
ICD_V1087,44,24,42,Hx of thyroid malignancy,Personal history of malignant neoplasm of thyroid
ICD_135,44,37,93,Sarcoidosis,Sarcoidosis
ICD_25053,44,21,56,DMI ophth uncntrld,"Diabetes with ophthalmic manifestations, type I [juvenile type], uncontrolled"
ICD_E912,44,2,2,Resp obstr-inhal obj NEC,Inhalation and ingestion of other object causing obstruction of respiratory tract or suffocation
ICD_41091,44,4,4,"AMI NOS, initial","Acute myocardial infarction of unspecified site, initial episode of care"
ICD_2554,44,18,27,,
ICD_4370,44,12,13,Cerebral atherosclerosis,Cerebral atherosclerosis
ICD_V550,43,7,9,Atten to tracheostomy,Attention to tracheostomy
ICD_53019,43,9,13,Other esophagitis,Other esophagitis
ICD_78061,43,13,17,Fever in other diseases,Fever presenting with conditions classified elsewhere
ICD_5768,43,5,6,Dis of biliary tract NEC,Other specified disorders of biliary tract
ICD_4940,43,16,24,Bronchiectas w/o ac exac,Bronchiectasis without acute exacerbation
ICD_6961,43,25,30,Other psoriasis,Other psoriasis
ICD_30401,43,14,24,Opioid dependence-contin,"Opioid type dependence, continuous"
ICD_85221,43,11,11,Subdural hem w/o coma,"Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness"
ICD_55321,43,3,3,Incisional hernia,Incisional hernia without mention of obstruction or gangrene
ICD_V4987,43,1,1,Physical restrain status,Physical restraints status
ICD_56212,42,12,13,Dvrtclo colon w hmrhg,Diverticulosis of colon with hemorrhage
ICD_4580,42,4,4,Orthostatic hypotension,Orthostatic hypotension
ICD_3694,42,23,31,Legal blindness-usa def,"Legal blindness, as defined in U.S.A."
ICD_E9289,42,4,5,Accident NOS,Unspecified accident
ICD_E8796,42,3,3,Abn react-urinary cath,"Urinary catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
ICD_70724,42,17,32,"Pressure ulcer, stage IV","Pressure ulcer, stage IV"
ICD_V0254,42,5,9,Meth resis Staph carrier,Carrier or suspected carrier of Methicillin resistant Staphylococcus aureus
ICD_99702,42,2,2,Iatrogen CV infarc/hmrhg,Iatrogenic cerebrovascular infarction or hemorrhage
ICD_4588,42,1,1,Hypotension NEC,Other specified hypotension
ICD_79001,42,5,5,"Drop, hematocrit, precip",Precipitous drop in hematocrit
ICD_25043,42,20,68,DMI renal uncntrld,"Diabetes with renal manifestations, type I [juvenile type], uncontrolled"
ICD_53085,42,19,26,Barrett's esophagus,Barrett's esophagus
ICD_E8791,42,8,15,Abn react-renal dialysis,"Kidney dialysis as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
ICD_72888,41,2,2,Rhabdomyolysis,Rhabdomyolysis
ICD_7793,41,14,15,,
ICD_25051,41,28,53,DMI ophth nt st uncntrld,"Diabetes with ophthalmic manifestations, type I [juvenile type], not stated as uncontrolled"
ICD_4233,41,6,6,Cardiac tamponade,Cardiac tamponade
ICD_20300,41,22,36,Mult mye w/o achv rmson,"Multiple myeloma, without mention of having achieved remission"
ICD_V4573,41,22,25,Acquired absence kidney,Acquired absence of kidney
ICD_7802,41,4,4,Syncope and collapse,Syncope and collapse
ICD_5589,41,4,4,Noninf gastroenterit NEC,Other and unspecified noninfectious gastroenteritis and colitis
ICD_V053,40,3,3,Need prphyl vc vrl hepat,Need for prophylactic vaccination and inoculation against viral hepatitis
ICD_4430,40,18,33,Raynaud's syndrome,Raynaud's syndrome
ICD_51902,40,11,15,Tracheostomy - mech comp,Mechanical complication of tracheostomy
ICD_5672,40,3,3,,
ICD_E8786,40,2,2,Abn reac-organ rem NEC,"Removal of other organ (partial) (total) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
ICD_3383,40,7,8,Neoplasm related pain,Neoplasm related pain (acute) (chronic)
ICD_185,40,12,15,Malign neopl prostate,Malignant neoplasm of prostate
ICD_3962,40,14,14,Mitral insuf/aort stenos,Mitral valve insufficiency and aortic valve stenosis
ICD_V4586,40,22,38,Bariatric surgery status,Bariatric surgery status
ICD_7837,40,3,5,Failure to thrive-adult,Adult failure to thrive
ICD_V452,39,14,19,Ventricular shunt status,Presence of cerebrospinal fluid drainage device
ICD_29420,39,3,4,Demen NOS w/o behv dstrb,"Dementia, unspecified, without behavioral disturbance"
ICD_V600,39,22,36,Lack of housing,Lack of housing
ICD_70725,39,1,1,"Pressure ulcer,unstagebl","Pressure ulcer, unstageable"
ICD_5184,39,0,0,Acute lung edema NOS,"Acute edema of lung, unspecified"
ICD_56969,39,4,6,Colstmy/enteros comp NEC,Other colostomy and enterostomy complication
ICD_2113,38,5,5,Benign neoplasm lg bowel,Benign neoplasm of colon
ICD_3899,38,12,14,Hearing loss NOS,Unspecified hearing loss
ICD_V5869,38,7,8,Long-term use meds NEC,Long-term (current) use of other medications
ICD_51181,38,9,10,Malignant pleural effusn,Malignant pleural effusion
ICD_5191,38,19,26,,
ICD_43330,38,9,9,Ocl mlt bi art wo infrct,Occlusion and stenosis of multiple and bilateral precerebral arteries without mention of cerebral infarction
ICD_29040,38,13,14,"Vascular dementia,uncomp","Vascular dementia, uncomplicated"
ICD_71690,38,9,11,Arthropathy NOS-unspec,"Arthropathy, unspecified, site unspecified"
ICD_4550,38,1,1,Int hemorrhoid w/o compl,Internal hemorrhoids without mention of complication
ICD_53240,38,5,5,Chr duoden ulcer w hem,"Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction"
ICD_1961,38,11,11,Mal neo lymph-intrathor,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
ICD_4592,38,9,15,Compression of vein,Compression of vein
ICD_5307,37,9,11,Mallory-weiss syndrome,Gastroesophageal laceration-hemorrhage syndrome
ICD_28981,37,19,24,Prim hypercoagulable st,Primary hypercoagulable state
ICD_7821,37,0,0,Nonspecif skin erupt NEC,Rash and other nonspecific skin eruption
ICD_56211,37,8,11,Dvrtcli colon w/o hmrhg,Diverticulitis of colon (without mention of hemorrhage)
ICD_V1003,37,16,19,Hx-esophageal malignancy,Personal history of malignant neoplasm of esophagus
ICD_9972,37,2,2,Surg comp-peri vasc syst,"Peripheral vascular complications, not elsewhere classified"
ICD_1972,37,7,7,Second malig neo pleura,Secondary malignant neoplasm of pleura
ICD_6827,37,1,1,Cellulitis of foot,"Cellulitis and abscess of foot, except toes"
ICD_9331,37,3,4,Foreign body in larynx,Foreign body in larynx
ICD_03843,37,2,3,Pseudomonas septicemia,Septicemia due to pseudomonas
ICD_430,37,7,7,Subarachnoid hemorrhage,Subarachnoid hemorrhage
ICD_7742,37,14,14,Neonat jaund preterm del,Neonatal jaundice associated with preterm delivery
ICD_70719,37,5,6,Ulcer oth part low limb,Ulcer of other part of lower limb
ICD_5109,37,5,6,Empyema w/o fistula,Empyema without mention of fistula
ICD_72400,36,11,12,Spinal stenosis NOS,"Spinal stenosis, unspecified region"
ICD_2662,36,16,20,B-complex defic NEC,Other B-complex deficiencies
ICD_7840,36,6,7,Headache,Headache
ICD_07032,36,17,28,Hpt B chrn wo cm wo dlta,Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta
ICD_56089,36,1,1,Intestinal obstruct NEC,Other specified intestinal obstruction
ICD_E9352,36,1,1,Adv eff opiates,Other opiates and related narcotics causing adverse effects in therapeutic use
ICD_9961,36,1,1,Malfunc vasc device/graf,"Mechanical complication of other vascular device, implant, and graft"
ICD_44422,36,8,8,Lower extremity embolism,Arterial embolism and thrombosis of lower extremity
ICD_V1301,36,13,15,Prsnl hst urnr dsrd calc,Personal history of urinary calculi
ICD_V1271,36,3,3,Prsnl hst peptic ulcr ds,Personal history of peptic ulcer disease
ICD_99685,36,21,43,Compl marrow transplant,Complications of transplanted bone marrow
ICD_9986,36,3,4,Persist postop fistula,Persistent postoperative fistula
ICD_4242,36,4,4,Nonrheum tricusp val dis,"Tricuspid valve disorders, specified as nonrheumatic"
ICD_2440,36,15,23,Postsurgical hypothyroid,Postsurgical hypothyroidism
ICD_2689,36,10,14,Vitamin D deficiency NOS,Unspecified vitamin D deficiency
ICD_53140,36,3,3,Chr stomach ulc w hem,"Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction"
ICD_5303,36,8,10,Esophageal stricture,Stricture and stenosis of esophagus
ICD_7078,35,1,1,Chronic skin ulcer NEC,Chronic ulcer of other specified sites
ICD_03812,35,4,5,MRSA septicemia,Methicillin resistant Staphylococcus aureus septicemia
ICD_V451,35,8,9,,
ICD_E8490,35,3,3,Accident in home,Home accidents
ICD_20500,35,21,26,Ac myl leuk wo achv rmsn,"Acute myeloid leukemia, without mention of having achieved remission"
ICD_36250,35,21,29,Macular degeneration NOS,"Macular degeneration (senile), unspecified"
ICD_V1006,34,18,41,Hx-rectal & anal malign,"Personal history of malignant neoplasm of rectum, rectosigmoid junction, and anus"
ICD_48242,34,1,1,Meth res pneu d/t Staph,Methicillin resistant pneumonia due to Staphylococcus aureus
ICD_78659,34,4,5,Chest pain NEC,Other chest pain
ICD_4829,34,0,0,Bacterial pneumonia NOS,"Bacterial pneumonia, unspecified"
ICD_59970,34,2,2,Hematuria NOS,"Hematuria, unspecified"
ICD_45821,34,5,5,Hemododialysis hypotensn,Hypotension of hemodialysis
ICD_E9394,34,0,0,Adv eff benzodiaz tranq,Benzodiazepine-based tranquilizers causing adverse effects in therapeutic use
ICD_73028,34,5,5,Osteomyelit NOS-oth site,"Unspecified osteomyelitis, other specified sites"
ICD_78079,34,3,7,Malaise and fatigue NEC,Other malaise and fatigue
ICD_1890,34,19,21,Malig neopl kidney,"Malignant neoplasm of kidney, except pelvis"
ICD_56983,34,1,1,Perforation of intestine,Perforation of intestine
ICD_5772,34,13,15,Pancreat cyst/pseudocyst,Cyst and pseudocyst of pancreas
ICD_V1007,34,9,16,Hx of liver malignancy,Personal history of malignant neoplasm of liver
ICD_7856,34,5,12,Enlargement lymph nodes,Enlargement of lymph nodes
ICD_44021,34,7,7,Ath ext ntv at w claudct,Atherosclerosis of native arteries of the extremities with intermittent claudication
ICD_25062,34,11,11,DMII neuro uncntrld,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled"
ICD_9973,33,3,4,,
ICD_03819,33,2,2,Staphylcocc septicem NEC,Other staphylococcal septicemia
ICD_29570,33,23,45,Schizoaffective dis NOS,"Schizoaffective disorder, unspecified"
ICD_20410,33,25,41,Ch lym leuk wo achv rmsn,"Chronic lymphoid leukemia, without mention of having achieved remission"
ICD_70720,33,0,0,"Pressure ulcer,stage NOS","Pressure ulcer, unspecified stage"
ICD_7812,33,3,4,Abnormality of gait,Abnormality of gait
ICD_V1302,33,8,13,Personal history UTI,"Personal history, urinary (tract) infection"
ICD_72989,33,5,8,Muscskel sympt limb NEC,Other musculoskeletal symptoms referable to limbs
ICD_V290,33,13,13,NB obsrv suspct infect,Observation for suspected infectious condition
ICD_5711,33,13,15,Ac alcoholic hepatitis,Acute alcoholic hepatitis
ICD_41041,33,5,5,"AMI inferior wall, init","Acute myocardial infarction of other inferior wall, initial episode of care"
ICD_28850,33,2,2,Leukocytopenia NOS,"Leukocytopenia, unspecified"
ICD_04186,32,3,3,Helicobacter pylori,Helicobacter pylori [H. pylori]
ICD_1125,32,3,3,Disseminated candidiasis,Disseminated candidiasis
ICD_99883,32,2,2,Non-healing surgcl wound,Non-healing surgical wound
ICD_V4972,32,6,6,Status amput othr toe(s),Other toe(s) amputation status
ICD_5920,32,14,16,Calculus of kidney,Calculus of kidney
ICD_5793,32,21,57,Intest postop nonabsorb,Other and unspecified postsurgical nonabsorption
ICD_E915,32,7,8,FB entering oth orifice,Foreign body accidentally entering other orifice
ICD_53390,31,9,9,Peptic ulcer NOS,"Peptic ulcer of unspecified site, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction"
ICD_1179,31,4,4,Mycoses NEC & NOS,Other and unspecified mycoses
ICD_V6284,31,4,7,Suicidal ideation,Suicidal ideation
ICD_56881,31,4,7,Hemoperitoneum,Hemoperitoneum (nontraumatic)
ICD_V8801,31,11,12,Acq absnce cervix/uterus,Acquired absence of both cervix and uterus
ICD_5750,30,1,1,Acute cholecystitis,Acute cholecystitis
ICD_78829,30,4,5,Oth spcf retention urine,Other specified retention of urine
ICD_2518,30,6,7,Pancreatic disorder NEC,Other specified disorders of pancreatic internal secretion
ICD_07030,30,9,16,Hpt B acte wo cm wo dlta,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta"
ICD_24900,30,8,11,Sec DM wo cmp nt st uncn,"Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified"
ICD_5641,30,15,16,Irritable bowel syndrome,Irritable bowel syndrome
ICD_29590,30,20,40,Schizophrenia NOS-unspec,"Unspecified schizophrenia, unspecified"
ICD_30560,30,11,14,Cocaine abuse-unspec,"Cocaine abuse, unspecified"
ICD_77081,30,5,5,Primary apnea of newborn,Primary apnea of newborn
ICD_7921,30,0,0,Abn find-stool contents,Nonspecific abnormal findings in stool contents
ICD_V4983,30,10,15,Await organ transplnt st,Awaiting organ transplant status
ICD_72402,30,10,12,"Spin sten,lumbr wo claud","Spinal stenosis, lumbar region, without neurogenic claudication"
ICD_27803,29,12,28,Obesity hypovent synd,Obesity hypoventilation syndrome
ICD_3079,29,0,0,Special symptom NEC/NOS,"Other and unspecified special symptoms or syndromes, not elsewhere classified"
ICD_07044,29,10,17,Chrnc hpt C w hepat Coma,Chronic hepatitis C with hepatic coma
ICD_2630,29,1,1,Malnutrition mod degree,Malnutrition of moderate degree
ICD_23871,29,1,1,Essntial thrombocythemia,Essential thrombocythemia
ICD_V4976,29,14,18,Status amput above knee,Above knee amputation status
ICD_E9444,29,3,3,Adv eff diuretics NEC,Other diuretics causing adverse effects in therapeutic use
ICD_V641,29,1,1,No proc/contraindication,Surgical or other procedure not carried out because of contraindication
ICD_4142,29,0,0,Chr tot occlus cor artry,Chronic total occlusion of coronary artery
ICD_E8783,29,3,4,Abn react-external stoma,"Surgical operation with formation of external stoma causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
ICD_4400,29,4,6,Aortic atherosclerosis,Atherosclerosis of aorta
ICD_1173,29,9,20,Aspergillosis,Aspergillosis
ICD_0088,29,2,2,Viral enteritis NOS,"Intestinal infection due to other organism, not elsewhere classified"
ICD_59971,29,3,3,Gross hematuria,Gross hematuria
ICD_319,29,20,41,Intellect disability NOS,Unspecified intellectual disabilities
ICD_51851,29,2,2,Ac resp flr fol trma/srg,Acute respiratory failure following trauma and surgery
ICD_E9290,29,8,8,Late eff motor vehic acc,Late effects of motor vehicle accident
ICD_34400,28,9,17,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
ICD_40310,28,3,3,Ben hy kid w cr kid I-IV,"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage I through stage IV, or unspecified"
ICD_3669,28,5,5,Cataract NOS,Unspecified cataract
ICD_9980,28,1,1,,
ICD_25012,28,7,12,DMII ketoacd uncontrold,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled"
ICD_53010,28,2,3,"Esophagitis, unspecified","Esophagitis, unspecified"
ICD_99749,28,3,5,Oth digestv system comp,Other digestive system complications
ICD_99594,28,0,0,SIRS-noninf w ac org dys,Systemic inflammatory response syndrome due to noninfectious process with acute organ dysfunction
ICD_V444,28,3,3,Enterostomy status NEC,Status of other artificial opening of gastrointestinal tract
ICD_44101,28,11,14,Dsct of thoracic aorta,"Dissection of aorta, thoracic"
ICD_73008,28,4,5,Ac osteomyelitis NEC,"Acute osteomyelitis, other specified sites"
ICD_V1079,28,9,15,Hx-lymphatic malign NEC,Personal history of other lymphatic and hematopoietic neoplasms
ICD_28419,28,10,13,Other pancytopenia,Other pancytopenia
ICD_25070,28,3,3,DMII circ nt st uncntrld,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled"
ICD_71536,28,4,11,Loc osteoarth NOS-l/leg,"Osteoarthrosis, localized, not specified whether primary or secondary, lower leg"
ICD_V4282,27,7,7,Trspl sts-perip stm cell,Peripheral stem cells replaced by transplant
ICD_1625,27,11,12,Mal neo lower lobe lung,"Malignant neoplasm of lower lobe, bronchus or lung"
ICD_5579,27,2,2,Vasc insuff intest NOS,Unspecified vascular insufficiency of intestine
ICD_2512,27,3,4,Hypoglycemia NOS,"Hypoglycemia, unspecified"
ICD_27739,27,9,15,Amyloidosis NEC,Other amyloidosis
ICD_53783,27,5,11,Angio stm/dudn w hmrhg,Angiodysplasia of stomach and duodenum with hemorrhage
ICD_4568,27,6,8,Varices of other sites,Varices of other sites
ICD_28749,27,5,5,Sec thrombocytpenia NEC,Other secondary thrombocytopenia
ICD_6823,27,2,2,Cellulitis of arm,Cellulitis and abscess of upper arm and forearm
ICD_1987,27,7,8,Second malig neo adrenal,Secondary malignant neoplasm of adrenal gland
ICD_51909,27,5,6,Tracheostomy comp NEC,Other tracheostomy complications
ICD_4404,26,7,7,Chr tot occl art extrem,Chronic total occlusion of artery of the extremities
ICD_2252,26,13,18,Ben neo cerebr meninges,Benign neoplasm of cerebral meninges
ICD_33818,26,2,2,Acute postop pain NEC,Other acute postoperative pain
ICD_4270,26,1,1,Parox atrial tachycardia,Paroxysmal supraventricular tachycardia
ICD_4251,26,20,30,,
ICD_2920,26,4,4,Drug withdrawal,Drug withdrawal
ICD_8670,26,2,2,Bladder/urethra inj-clos,"Injury to bladder and urethra, without mention of open wound into cavity"
ICD_514,26,1,1,Pulm congest/hypostasis,Pulmonary congestion and hypostasis
ICD_25042,26,4,5,DMII renal uncntrld,"Diabetes with renal manifestations, type II or unspecified type, uncontrolled"
ICD_V453,26,2,2,Intestinal bypass status,Intestinal bypass or anastomosis status
ICD_45340,26,2,2,Ac DVT/embl low ext NOS,Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity
ICD_85220,26,4,4,Traumatic subdural hem,"Subdural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness"
ICD_28984,26,6,6,Heparin-indu thrombocyto,Heparin-induced thrombocytopenia (HIT)
ICD_5571,26,7,12,Chr vasc insuff intest,Chronic vascular insufficiency of intestine
ICD_70704,26,5,6,"Pressure ulcer, hip","Pressure ulcer, hip"
ICD_53551,26,2,2,Gstr/ddnts NOS w hmrhg,"Unspecified gastritis and gastroduodenitis, with hemorrhage"
ICD_5738,25,3,3,Liver disorders NEC,Other specified disorders of liver
ICD_5118,25,2,2,,
ICD_99739,25,0,0,Respiratory comp NEC,Other respiratory complications
ICD_45182,25,0,0,Phlbts sprfc vn up extrm,Phlebitis and thrombophlebitis of superficial veins of upper extremities
ICD_53560,25,2,2,Duodenitis w/o hmrhg,"Duodenitis, without mention of hemorrhage"
ICD_0383,25,0,0,Anaerobic septicemia,Septicemia due to anaerobes
ICD_78001,25,1,1,Coma,Coma
ICD_E8700,25,1,1,Acc cut/hem in surgery,"Accidental cut, puncture, perforation or hemorrhage during surgical operation"
ICD_V850,25,5,7,"BMI less than 19,adult","Body Mass Index less than 19, adult"
ICD_V1253,25,7,13,Hx sudden cardiac arrest,Personal history of sudden cardiac arrest
ICD_V180,25,5,7,Fam hx-diabetes mellitus,Family history of diabetes mellitus
ICD_4264,25,3,3,Rt bundle branch block,Right bundle branch block
ICD_5852,24,6,7,Chro kidney dis stage II,"Chronic kidney disease, Stage II (mild)"
ICD_1962,24,7,9,Mal neo lymph intra-abd,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
ICD_71596,24,9,11,Osteoarthros NOS-l/leg,"Osteoarthrosis, unspecified whether generalized or localized, lower leg"
ICD_99889,24,0,0,Oth spcf cmplc procd NEC,Other specified complications of procedures not elsewhere classified
ICD_4590,24,1,1,Hemorrhage NOS,"Hemorrhage, unspecified"
ICD_28803,24,4,5,Drug induced neutropenia,Drug induced neutropenia
ICD_42090,24,1,1,Acute pericarditis NOS,"Acute pericarditis, unspecified"
ICD_E8809,24,5,6,Fall on stair/step NEC,Accidental fall on or from other stairs or steps
ICD_72889,24,3,5,Muscle/ligament dis NEC,"Other disorders of muscle, ligament, and fascia"
ICD_30001,24,6,8,Panic dis w/o agorphobia,Panic disorder without agoraphobia
ICD_78609,24,4,4,Respiratory abnorm NEC,Other respiratory abnormalities
ICD_9070,24,6,6,Lt eff intracranial inj,Late effect of intracranial injury without mention of skull fracture
ICD_V4571,24,10,11,Acq absnce breast/nipple,Acquired absence of breast and nipple
ICD_V5332,24,3,3,Ftng autmtc dfibrillator,Fitting and adjustment of automatic implantable cardiac defibrillator
ICD_V553,24,2,2,Atten to colostomy,Attention to colostomy
ICD_34889,24,1,1,Brain conditions NEC,Other conditions of brain
ICD_V1201,24,12,15,Prsnl hst tuberculosis,Personal history of tuberculosis
ICD_78722,24,2,2,"Dysphagia, oropharyngeal","Dysphagia, oropharyngeal phase"
ICD_3558,24,3,5,Mononeuritis leg NOS,"Mononeuritis of lower limb, unspecified"
ICD_V5331,24,2,2,Ftng cardiac pacemaker,Fitting and adjustment of cardiac pacemaker
ICD_E9420,23,4,4,Adv eff card rhyth regul,Cardiac rhythm regulators causing adverse effects in therapeutic use
